district,name,votes,percent_votes
24040,Johanne Théorêt Conservative/Conservateur,5768,9.8
24040,Charles Sicotte Green Party/Parti Vert,1208,2.1
24042,Christian Paradis ** Conservative/Conservateur,21931,49.1
24042,Cheryl Voisine NDP-New Democratic Party/NPD-Nouveau Parti démocratique,11716,26.2
24042,Pierre Turcotte Bloc Québécois/Bloc Québécois,7481,16.8
24042,René Roy Liberal/Libéral,2601,5.8
24042,Wyatt Tessari Green Party/Parti Vert,655,1.5
24042,Alain Bergeron CAP/PAC,250,0.6
24043,Manon Perreault NDP-New Democratic Party/NPD-Nouveau Parti démocratique,34434,53
24043,Roger Gaudet ** Bloc Québécois/Bloc Québécois,19609,30.2
24043,Jason Fuoco Conservative/Conservateur,5118,7.9
24043,Yves Dufour Liberal/Libéral,3501,5.4
24043,Marianne Girard Green Party/Parti Vert,2347,3.6
24058,François Lapointe NDP-New Democratic Party/NPD-Nouveau Parti démocratique,17285,36.4
24058,Bernard Généreux ** Conservative/Conservateur,17276,36.3
24058,Nathalie Arsenault Bloc Québécois/Bloc Québécois,9550,20.1
24058,Andrew Caddell Liberal/Libéral,2743,5.8
24058,Lynette Tremblay Green Party/Parti Vert,691,1.5
24014,Jonathan Tremblay NDP-New Democratic Party/NPD-Nouveau Parti démocratique,17601,37.3
24014,Michel Guimond ** Bloc Québécois/Bloc Québécois,16425,34.9
24014,Michel-Eric Castonguay Conservative/Conservateur,9660,20.5
24014,Robert Gauthier Liberal/Libéral,2628,5.6
24014,François Bédard Green Party/Parti Vert,814,1.7
24044,Irwin Cotler ** Liberal/Libéral,16151,41.4
24044,Saulie Zajdel Conservative/Conservateur,13891,35.6
24044,Jeff Itcush NDP-New Democratic Party/NPD-Nouveau Parti démocratique,6963,17.9
24044,Gabriel Dumais Bloc Québécois/Bloc Québécois,1136,2.9
24044,Brian Sarwer-Foner Green Party/Parti Vert,683,1.8
24044,Diane Johnston Marxist-Leninist/Marxiste-Léniniste,109,0.3
24044,abraham Weizfeld No Affiliation/Aucune appartenance,74,0.2
