district	district_name	results_type	surname	given_name	party	votes	percent_votes	rejected_ballots	total_ballots
13003	Fredericton	preliminary	Atwin	Jenica	Green Party	15380	32.8	0	46841
13003	Fredericton	preliminary	DeCourcey	Matt	Liberal	12803	27.3	0	46841
13003	Fredericton	preliminary	Johnson	Andrea	Conservative	14589	31.1	0	46841
13003	Fredericton	preliminary	Kirby	Brandon	Libertarian	123	0.3	0	46841
13003	Fredericton	preliminary	Patterson	Jacob	Communist	76	0.2	0	46841
13003	Fredericton	preliminary	Paull	Jason	People's Party	767	1.6	0	46841
13003	Fredericton	preliminary	Thomas	Lesley	Animal Protection Party	277	0.6	0	46841
13003	Fredericton	preliminary	Thomason	Mackenzie	NDP-New Democratic Party	2826	6	0	46841
13003	Fredericton	validated	Atwin	Jenica	Green Party	16640	33.7	301	49710
13003	Fredericton	validated	DeCourcey	Matt	Liberal	13544	27.4	301	49710
13003	Fredericton	validated	Johnson	Andrea	Conservative	15011	30.4	301	49710
13003	Fredericton	validated	Kirby	Brandon	Libertarian	126	0.3	301	49710
13003	Fredericton	validated	Patterson	Jacob	Communist	80	0.2	301	49710
13003	Fredericton	validated	Paull	Jason	People's Party	776	1.6	301	49710
13003	Fredericton	validated	Thomas	Lesley	Animal Protection Party	286	0.6	301	49710
13003	Fredericton	validated	Thomason	Mackenzie	NDP-New Democratic Party	2946	6	301	49710
13004	Fundy Royal	preliminary	Amos	David Raymond	Independent	291	0.6	0	47192
13004	Fundy Royal	preliminary	Evans	John	National Citizens Alliance	200	0.4	0	47192
13004	Fundy Royal	preliminary	Lockhart	Alaina	Liberal	12015	25.5	0	47192
13004	Fundy Royal	preliminary	Moore	Rob	Conservative	21727	46	0	47192
13004	Fundy Royal	preliminary	Neumayer	Rudy	People's Party	1239	2.6	0	47192
13004	Fundy Royal	preliminary	Thompson	Tim	Green Party	7060	15	0	47192
13004	Fundy Royal	preliminary	Tolan	James	NDP-New Democratic Party	4660	9.9	0	47192
13004	Fundy Royal	validated	Amos	David Raymond	Independent	295	0.6	349	48995
13004	Fundy Royal	validated	Evans	John	National Citizens Alliance	201	0.4	349	48995
13004	Fundy Royal	validated	Lockhart	Alaina	Liberal	12433	25.6	349	48995
13004	Fundy Royal	validated	Moore	Rob	Conservative	22389	46	349	48995
13004	Fundy Royal	validated	Neumayer	Rudy	People's Party	1249	2.6	349	48995
13004	Fundy Royal	validated	Thompson	Tim	Green Party	7275	15	349	48995
13004	Fundy Royal	validated	Tolan	James	NDP-New Democratic Party	4804	9.9	349	48995
13005	Madawaska--Restigouche	preliminary	Arseneault	René	Liberal	17331	50.2	0	34535
13005	Madawaska--Restigouche	preliminary	Betteridge	Chad	NDP-New Democratic Party	2314	6.7	0	34535
13005	Madawaska--Restigouche	preliminary	Bérubé	Louis	Green Party	5090	14.7	0	34535
13005	Madawaska--Restigouche	preliminary	Fox	Nelson	Conservative	9800	28.4	0	34535
13005	Madawaska--Restigouche	validated	Arseneault	René	Liberal	17331	50.3	657	35126
13005	Madawaska--Restigouche	validated	Betteridge	Chad	NDP-New Democratic Party	2212	6.4	657	35126
13005	Madawaska--Restigouche	validated	Bérubé	Louis	Green Party	5125	14.9	657	35126
13005	Madawaska--Restigouche	validated	Fox	Nelson	Conservative	9801	28.4	657	35126
13006	Miramichi--Grand Lake	preliminary	Clancy Teslenko	Eileen	NDP-New Democratic Party	2874	8.3	0	34597
13006	Miramichi--Grand Lake	preliminary	Deitch	Patty	Green Party	3915	11.3	0	34597
13006	Miramichi--Grand Lake	preliminary	Finnigan	Pat	Liberal	12725	36.8	0	34597
13006	Miramichi--Grand Lake	preliminary	Lawson	Mathew Grant	Independent	396	1.1	0	34597
13006	Miramichi--Grand Lake	preliminary	MacKenzie	Allison	Independent	1160	3.4	0	34597
13006	Miramichi--Grand Lake	preliminary	McLean	Peggy	Conservative	12311	35.6	0	34597
13006	Miramichi--Grand Lake	preliminary	Nowlan	Ron	People's Party	1216	3.5	0	34597
13006	Miramichi--Grand Lake	validated	Clancy Teslenko	Eileen	NDP-New Democratic Party	2875	8.3	517	35115
13006	Miramichi--Grand Lake	validated	Deitch	Patty	Green Party	3914	11.3	517	35115
13006	Miramichi--Grand Lake	validated	Finnigan	Pat	Liberal	12722	36.8	517	35115
13006	Miramichi--Grand Lake	validated	Lawson	Mathew Grant	Independent	396	1.1	517	35115
13006	Miramichi--Grand Lake	validated	MacKenzie	Allison	Independent	1160	3.4	517	35115
13006	Miramichi--Grand Lake	validated	McLean	Peggy	Conservative	12352	35.7	517	35115
13006	Miramichi--Grand Lake	validated	Nowlan	Ron	People's Party	1179	3.4	517	35115
13007	Moncton--Riverview--Dieppe	preliminary	Driver	Stephen	People's Party	1258	2.4	0	51943
13007	Moncton--Riverview--Dieppe	preliminary	Godin-Charest	Sylvie	Conservative	12190	23.5	0	51943
13007	Moncton--Riverview--Dieppe	preliminary	Kelly	Claire	Green Party	9371	18	0	51943
